"","unlistNoticias","Freq"
"1","",7
"2","a",5
"3","abandono",1
"4","animales",4
"5","asã­",1
"6","atender",1
"7","cada",1
"8","cantidad",1
"9","carne",1
"10","causa",1
"11","chile",1
"12","como",3
"13","con",1
"14","cuidados",1
"15","cuya",1
"16","dado",1
"17","dar",2
"18","de",12
"19","dedicamos",1
"20","del",1
"21","el",1
"22","ellos",1
"23","emocionales",1
"24","en",1
"25","entendemos",1
"26","es",3
"27","esfuerzos",1
"28","estilo",1
"29","forma",1
"30","futuro",1
"31","granja",1
"32","gravã­sima",1
"33","han",1
"34","hogar",1
"35","huevos",1
"36","igualdad",1
"37","injusta",1
"38","justo",1
"39","la",4
"40","leche",1
"41","lo",1
"42","los",4
"43","luchar",1
"44","mã¡s",1
"45","maltrato",1
"46","mayor",2
"47","mejor",1
"48","misiã³n",1
"49","muerte",1
"50","necesidades",1
"51","nuestros",1
"52","nutricionales",1
"53","obtenciã³n",1
"54","para",3
"55","permanente",1
"56","por",2
"57","posibles",1
"58","preocupã¡ndose",1
"59","promovemos",1
"60","proviene",1
"61","que",5
"62","realidad",1
"63","recursos",1
"64","refugiados",1
"65","refugio",1
"66","requieran",1
"67","rescatados",1
"68","salvar",1
"69","santuario",1
"70","seguro",1
"71","sido",1
"72","situaciã³n",1
"73","su",2
"74","sufrimiento",1
"75","sus",1
"76","tambiã©n",1
"77","terminar",1
"78","todos",3
"79","ubicado",1
"80","un",4
"81","uno",1
"82","utilizaciã³n",1
"83","vã­ctimas",1
"84","vegano",1
"85","veterinarios",1
"86","vida",1
"87","y",7
